Organ,Organ_ID,FTU Label in Uberon,FTU ID in Uberon,CT in CL,CT Label in CL,CT ID in CL,CT Label in 2D Object,#AS,#CT
Lung,http://purl.obolibrary.org/obo/UBERON_0002048,Alveolus of Lung,UBERON:0002299,alveolar type 1 fibroblast cell,alveolar type 1 fibroblast cell,CL:4028004,Lung Matrix Fibroblast,0,7
Lung,http://purl.obolibrary.org/obo/UBERON_0002048,Alveolus of Lung,UBERON:0002299,secondary crest myofibroblast,secondary crest myofibroblast,CL:4033016,Secondary Crest Myofibroblast,0,9
Lung,http://purl.obolibrary.org/obo/UBERON_0002048,Alveolus of Lung,UBERON:0002299,CAP1 general capillary gCap,alveolar capillary type 1 endothelial cell,CL:4028002,Capillary Endothelial Cell,0,27
Pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,Intercalated Duct,UBERON:0014726,Pancreas exocrine glandular cell,epithelial cell of exocrine pancreas,CL:1001433,Ductal Epithelial Cell,0,25
Pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,Intercalated Duct,UBERON:0014726,Centroacinar cell,pancreatic centro-acinar cell,CL:0002080,Centroacinar Cell,0,2
Pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,Intercalated Duct,UBERON:0014726,,intercalated duct of pancreas,UBERON:0014726,intercalated duct,1,0
Pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,Intercalated Duct,UBERON:0014726,,pancreatic acinus,UBERON:0001263,pancreatic acinus,1,0
Pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,Acinus,UBERON:0001263,Acinar cell,pancreatic acinar cell,CL:0002064,Pancreatic Acinar Cell,0,9
Pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,Acinus,UBERON:0001263,Pancreatic goblet cell,pancreatic goblet cell,CL:1000322,Pancreatic Goblet Cell,0,1
Pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,Acinus,UBERON:0001263,Ductal epithelial cell,epithelial cell of exocrine pancreas,CL:1001433,Ductal Epithelial Cell,0,14
Pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,Acinus,UBERON:0001263,Centroacinar cell,pancreatic centro-acinar cell,CL:0002080,Centroacinar Cell,0,2
Pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,Acinus,UBERON:0001263,,,,Tuft Cell,0,1
Pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,Acinus,UBERON:0001263,,intercalated duct of pancreas,UBERON:0014726,Intercalated Duct,1,0
Pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,Islet of Langerhans,UBERON:0000006,Alpha cell,pancreatic A cell,CL:0000171,Pancreatic A Cell,0,65
Pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,Islet of Langerhans,UBERON:0000006,Beta cell,type B pancreatic cell,CL:0000169,Pancreatic B Cell,0,116
Pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,Islet of Langerhans,UBERON:0000006,Delta cell,pancreatic D cell,CL:0000173,Pancreatic D Cell,0,19
Pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,Islet of Langerhans,UBERON:0000006,PP cell,pancreatic PP cell,CL:0002275,Pancreatic PP Cell,0,11
Pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,Islet of Langerhans,UBERON:0000006,,capillary endothelial cell,CL:0002144,Capillary Endothelial Cell,0,7
Pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,Islet of Langerhans,UBERON:0000006,Macrophage,macrophage,CL:0000235,Macrophage,0,4
Pancreas,http://purl.obolibrary.org/obo/UBERON_0001264,Islet of Langerhans,UBERON:0000006,,,,Pericyte,0,1
Prostate,http://purl.obolibrary.org/obo/UBERON_0002367,Prostate Glandular Acinus,UBERON:0004179,periprostatic fibroblast,fibroblast of subepithelial connective tissue of prostatic gland,CL:1000301,Fibroblast Of Subepithelial Connective Tissue Of Prostatic Gland,0,101
Prostate,http://purl.obolibrary.org/obo/UBERON_0002367,Prostate Glandular Acinus,UBERON:0004179,prostate smooth muscle,smooth muscle cell of prostate,CL:1000487,Smooth Muscle Cell Of Prostate,0,76
Prostate,http://purl.obolibrary.org/obo/UBERON_0002367,Prostate Glandular Acinus,UBERON:0004179,interstitial fibroblast,fibroblast of connective tissue of prostate,CL:1000299,Fibroblast Of Connective Tissue Of Prostate,0,20
Prostate,http://purl.obolibrary.org/obo/UBERON_0002367,Prostate Glandular Acinus,UBERON:0004179,,,,Prostate Gland Microvascular Endothelial Cell,0,3
Prostate,http://purl.obolibrary.org/obo/UBERON_0002367,Prostate Glandular Acinus,UBERON:0004179,luminal epithelia,luminal cell of prostate epithelium,CL:0002340,Luminal Cell Of Prostate Epithelium,0,120
Prostate,http://purl.obolibrary.org/obo/UBERON_0002367,Prostate Glandular Acinus,UBERON:0004179,basal epithelia,basal cell of prostate epithelium,CL:0002341,Basal Cell Of Prostate Epithelium,0,174
Prostate,http://purl.obolibrary.org/obo/UBERON_0002367,Prostate Glandular Acinus,UBERON:0004179,vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,Vascular Smooth Muscle Cell,0,4
Prostate,http://purl.obolibrary.org/obo/UBERON_0002367,Prostate Glandular Acinus,UBERON:0004179,perictye,pericyte,CL:0000669,Prostate Pericyte,0,3
Skin,http://purl.obolibrary.org/obo/UBERON_0002097,Dermal Papilla,UBERON:0001992,Fibroblast,skin fibroblast,CL:0002620,Skin Fibroblast,0,39
Skin,http://purl.obolibrary.org/obo/UBERON_0002097,Dermal Papilla,UBERON:0001992,Endothelial cell,endothelial cell,CL:0000115,Blood Vessel,0,7
Skin,http://purl.obolibrary.org/obo/UBERON_0002097,Epidermal Ridge,UBERON:0013487,Keratinocytes (Spinous),prickle cell,CL:0000649,Prickle Cell,0,104
Skin,http://purl.obolibrary.org/obo/UBERON_0002097,Epidermal Ridge,UBERON:0013487,Langerhans cell,epidermal Langerhans cell,CL:0002457,Epidermal Langerhans Cell,0,3
Skin,http://purl.obolibrary.org/obo/UBERON_0002097,Epidermal Ridge,UBERON:0013487,Keratinocyte (Basal),basal cell,CL:0000646,Basal Cell,0,35
Skin,http://purl.obolibrary.org/obo/UBERON_0002097,Epidermal Ridge,UBERON:0013487,Merkel cell,Merkel cell,CL:0000242,Merkel Cell,0,2
Skin,http://purl.obolibrary.org/obo/UBERON_0002097,Epidermal Ridge,UBERON:0013487,Melanocyte,melanocyte of skin,CL:1000458,Melanocyte,0,4
Small Intestine,http://purl.obolibrary.org/obo/UBERON_0002108,Intestinal Villus,UBERON:0001213,natural killer (NK) cell,natural killer cell,CL:0000623,Natural Killer Cell,0,4
Small Intestine,http://purl.obolibrary.org/obo/UBERON_0002108,Intestinal Villus,UBERON:0001213,fibroblasts,fibroblast,CL:0000057,Fibroblast,0,18
Small Intestine,http://purl.obolibrary.org/obo/UBERON_0002108,Intestinal Villus,UBERON:0001213,Tuft cells,tuft cell of small intestine,CL:0009080,Tuft Cell,0,18
Small Intestine,http://purl.obolibrary.org/obo/UBERON_0002108,Intestinal Villus,UBERON:0001213,enterocytes,enterocyte,CL:0000584,Enterocyte,0,305
Small Intestine,http://purl.obolibrary.org/obo/UBERON_0002108,Intestinal Villus,UBERON:0001213,mast cells,mast cell,CL:0000097,Mast Cell,0,3
Small Intestine,http://purl.obolibrary.org/obo/UBERON_0002108,Intestinal Villus,UBERON:0001213,goblet cell,duodenal goblet cell,CL:1000324,Goblet Cell,0,16
Small Intestine,http://purl.obolibrary.org/obo/UBERON_0002108,Intestinal Villus,UBERON:0001213,myofibroblast,myofibroblast,CL:0000186,Myofibroblast,0,79
Small Intestine,http://purl.obolibrary.org/obo/UBERON_0002108,Intestinal Villus,UBERON:0001213,plasma,plasma cell,CL:0000786,Plasma Cell,0,9
Small Intestine,http://purl.obolibrary.org/obo/UBERON_0002108,Intestinal Villus,UBERON:0001213,dendritic cell (DC),dendritic cell,CL:0000451,Dendritic Cell,0,12
Small Intestine,http://purl.obolibrary.org/obo/UBERON_0002108,Intestinal Villus,UBERON:0001213,B cell,B cell,CL:0000236,B Cell,0,160
