organ,source,target,source_type,target_type
allen_brain,UBERON:0000955,CL:0000540$$217,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$221,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$222,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$233,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$240,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$241,AS,CT
allen_brain,UBERON:0000955,CL:1001474$$245,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$246,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$250,AS,CT
allen_brain,UBERON:0000955,CL:4023079,AS,CT
allen_brain,UBERON:0001890,UBERON:0019264,AS,AS
allen_brain,UBERON:0001890,UBERON:0019261,AS,AS
allen_brain,UBERON:0001890,UBERON:0002285,AS,AS
allen_brain,UBERON:0019264,UBERON:0000956,AS,AS
allen_brain,UBERON:0019264,UBERON:0001876,AS,AS
allen_brain,UBERON:0019264,UBERON:0010011,AS,AS
allen_brain,UBERON:0019264,UBERON:0002023,AS,AS
allen_brain,UBERON:0019264,UBERON:0002743,AS,AS
allen_brain,UBERON:0019264,UBERON:0001897,AS,AS
allen_brain,UBERON:0019264,UBERON:0001898,AS,AS
allen_brain,UBERON:0019264,CL:0002453$$9,AS,CT
allen_brain,UBERON:0019264,ASCTB-TEMP:thalamus,AS,AS
allen_brain,UBERON:0019264,CL:0000128$$11,AS,CT
allen_brain,UBERON:0019264,CL:0012000,AS,CT
allen_brain,UBERON:0019264,CL:0000065$$16,AS,CT
allen_brain,UBERON:0019264,CL:4023012$$20,AS,CT
allen_brain,UBERON:0019264,CL:4023012$$21,AS,CT
allen_brain,UBERON:0019264,CL:4023012$$22,AS,CT
allen_brain,UBERON:0019264,CL:4023012$$23,AS,CT
allen_brain,UBERON:0019264,CL:4023012$$24,AS,CT
allen_brain,UBERON:0019264,CL:0000679$$26,AS,CT
allen_brain,UBERON:0019264,CL:0000679$$27,AS,CT
allen_brain,UBERON:0019264,CL:0000679$$28,AS,CT
allen_brain,UBERON:0019264,CL:0000679$$30,AS,CT
allen_brain,UBERON:0019264,CL:0000679$$31,AS,CT
allen_brain,UBERON:0019264,CL:0000679$$32,AS,CT
allen_brain,UBERON:0019264,CL:0000679$$33,AS,CT
allen_brain,UBERON:0019264,CL:0000679$$38,AS,CT
allen_brain,UBERON:0019264,CL:0012001,AS,CT
allen_brain,UBERON:0019264,CL:4023008$$42,AS,CT
allen_brain,UBERON:0019264,CL:4023008$$43,AS,CT
allen_brain,UBERON:0019264,CL:4023008$$44,AS,CT
allen_brain,UBERON:0019264,CL:4023008$$45,AS,CT
allen_brain,UBERON:0019264,CL:4023008$$46,AS,CT
allen_brain,UBERON:0019264,CL:4023008$$47,AS,CT
allen_brain,UBERON:0019264,CL:4023008$$48,AS,CT
allen_brain,UBERON:0019264,CL:4023008$$49,AS,CT
allen_brain,UBERON:0019264,ASCTB-TEMP:amygdaloid-complex,AS,AS
allen_brain,UBERON:0019264,CL:4023039$$50,AS,CT
allen_brain,UBERON:0019264,CL:4023039$$51,AS,CT
allen_brain,UBERON:0019264,CL:4023039$$52,AS,CT
allen_brain,UBERON:0019264,CL:4023039$$53,AS,CT
allen_brain,UBERON:0019264,CL:4023039$$54,AS,CT
allen_brain,UBERON:0019264,CL:4023039$$55,AS,CT
allen_brain,UBERON:0019264,CL:4023039$$56,AS,CT
allen_brain,UBERON:0019264,CL:4023039$$61,AS,CT
allen_brain,UBERON:0019264,CL:4023039$$62,AS,CT
allen_brain,UBERON:0019264,CL:4023060$$76,AS,CT
allen_brain,UBERON:0019264,CL:1001474$$79,AS,CT
allen_brain,UBERON:0019264,CL:1001474$$82,AS,CT
allen_brain,UBERON:0019264,CL:1001474$$84,AS,CT
allen_brain,UBERON:0019264,CL:1001474$$85,AS,CT
allen_brain,UBERON:0019264,CL:1001474$$86,AS,CT
allen_brain,UBERON:0019264,CL:1001474$$88,AS,CT
allen_brain,UBERON:0019264,CL:1001474$$89,AS,CT
allen_brain,UBERON:0019264,CL:1001474$$92,AS,CT
allen_brain,UBERON:0019264,CL:1001474$$94,AS,CT
allen_brain,UBERON:0019264,CL:1001474$$95,AS,CT
allen_brain,UBERON:0019264,CL:1001474$$96,AS,CT
allen_brain,UBERON:0019264,CL:1001474$$98,AS,CT
allen_brain,UBERON:0019264,CL:1001474$$99,AS,CT
allen_brain,UBERON:0019264,CL:1001474$$100,AS,CT
allen_brain,UBERON:0019264,CL:1001474$$102,AS,CT
allen_brain,UBERON:0019264,CL:1001474$$105,AS,CT
allen_brain,UBERON:0019264,CL:4023063,AS,CT
allen_brain,UBERON:0019264,CL:0000540$$108,AS,CT
allen_brain,UBERON:0019264,CL:0000402,AS,CT
allen_brain,UBERON:0019264,CL:4023064,AS,CT
allen_brain,UBERON:0019264,CL:0000540$$184,AS,CT
allen_brain,UBERON:0019264,CL:0000540$$197,AS,CT
allen_brain,UBERON:0019264,CL:0000540$$212,AS,CT
allen_brain,UBERON:0019264,CL:0000540$$220,AS,CT
allen_brain,UBERON:0019264,CL:4023039$$223,AS,CT
allen_brain,UBERON:0019264,CL:4023039$$224,AS,CT
allen_brain,UBERON:0019264,CL:4023039$$225,AS,CT
allen_brain,UBERON:0019264,CL:4023039$$226,AS,CT
allen_brain,UBERON:0019264,CL:0000540$$227,AS,CT
allen_brain,UBERON:0019264,CL:0000540$$228,AS,CT
allen_brain,UBERON:0019264,CL:0000540$$234,AS,CT
allen_brain,UBERON:0019264,CL:4023039$$237,AS,CT
allen_brain,UBERON:0019264,CL:0000540$$238,AS,CT
allen_brain,UBERON:0019264,CL:0000540$$239,AS,CT
allen_brain,UBERON:0019264,CL:0000540$$242,AS,CT
allen_brain,UBERON:0019264,CL:0000540$$243,AS,CT
allen_brain,UBERON:0019264,CL:1001474$$244,AS,CT
allen_brain,UBERON:0019264,CL:0000540$$247,AS,CT
allen_brain,UBERON:0019264,CL:1001474$$248,AS,CT
allen_brain,UBERON:0019264,CL:4023068$$266,AS,CT
allen_brain,UBERON:0000956,UBERON:0016525,AS,AS
allen_brain,UBERON:0000956,UBERON:0001872,AS,AS
allen_brain,UBERON:0000956,UBERON:0001871,AS,AS
allen_brain,UBERON:0000956,UBERON:0002021,AS,AS
allen_brain,UBERON:0000956,UBERON:0002022,AS,AS
allen_brain,UBERON:0000956,UBERON:0002600,AS,AS
allen_brain,UBERON:0000956,CL:0002605,AS,CT
allen_brain,UBERON:0000956,CL:4023012,AS,CT
allen_brain,UBERON:0000956,CL:0000679$$25,AS,CT
allen_brain,UBERON:0000956,CL:0000679$$29,AS,CT
allen_brain,UBERON:0000956,CL:0000679$$34,AS,CT
allen_brain,UBERON:0000956,CL:0000679$$35,AS,CT
allen_brain,UBERON:0000956,CL:0000679$$36,AS,CT
allen_brain,UBERON:0000956,CL:0000679$$37,AS,CT
allen_brain,UBERON:0000956,CL:0000679$$39,AS,CT
allen_brain,UBERON:0000956,CL:4023009,AS,CT
allen_brain,UBERON:0000956,CL:4023060,AS,CT
allen_brain,UBERON:0000956,CL:0010012,AS,CT
allen_brain,UBERON:0000956,CL:4023008,AS,CT
allen_brain,UBERON:0000956,CL:4023039$$60,AS,CT
allen_brain,UBERON:0000956,CL:4023039$$63,AS,CT
allen_brain,UBERON:0000956,CL:4023063$$109,AS,CT
allen_brain,UBERON:0000956,CL:4023063$$110,AS,CT
allen_brain,UBERON:0000956,CL:4023063$$111,AS,CT
allen_brain,UBERON:0000956,CL:4023063$$112,AS,CT
allen_brain,UBERON:0000956,CL:4023063$$113,AS,CT
allen_brain,UBERON:0000956,CL:4023063$$115,AS,CT
allen_brain,UBERON:0000956,CL:4023063$$116,AS,CT
allen_brain,UBERON:0000956,CL:4023063$$117,AS,CT
allen_brain,UBERON:0000956,CL:4023063$$118,AS,CT
allen_brain,UBERON:0000956,CL:4023063$$119,AS,CT
allen_brain,UBERON:0000956,CL:4023063$$120,AS,CT
allen_brain,UBERON:0000956,CL:4023063$$121,AS,CT
allen_brain,UBERON:0000956,CL:4023063$$122,AS,CT
allen_brain,UBERON:0000956,CL:4023063$$123,AS,CT
allen_brain,UBERON:0000956,CL:4023063$$124,AS,CT
allen_brain,UBERON:0000956,CL:0000402$$125,AS,CT
allen_brain,UBERON:0000956,CL:0000402$$127,AS,CT
allen_brain,UBERON:0000956,CL:4023064$$129,AS,CT
allen_brain,UBERON:0000956,CL:4023064$$130,AS,CT
allen_brain,UBERON:0000956,CL:4023064$$132,AS,CT
allen_brain,UBERON:0000956,CL:4023064$$133,AS,CT
allen_brain,UBERON:0016525,UBERON:0002661,AS,AS
allen_brain,UBERON:0016525,UBERON:0002702,AS,AS
allen_brain,UBERON:0016525,UBERON:0002998,AS,AS
allen_brain,UBERON:0016525,UBERON:0004671,AS,AS
allen_brain,UBERON:0016525,UBERON:0002570,AS,AS
allen_brain,UBERON:0016525,UBERON:0002644,AS,AS
allen_brain,UBERON:0016525,UBERON:0002564,AS,AS
allen_brain,UBERON:0016525,UBERON:0035932,AS,AS
allen_brain,UBERON:0016525,UBERON:0022398,AS,AS
allen_brain,UBERON:0016525,UBERON:0002947,AS,AS
allen_brain,UBERON:0016525,UBERON:0002593,AS,AS
allen_brain,UBERON:0016525,UBERON:0019280,AS,AS
allen_brain,UBERON:0016525,UBERON:0004725,AS,AS
allen_brain,UBERON:0016525,ASCTB-TEMP:frontomarginal-gyrus,AS,AS
allen_brain,UBERON:0016525,UBERON:0002795,AS,AS
allen_brain,UBERON:0016525,UBERON:0002761,AS,AS
allen_brain,UBERON:0016525,ASCTB-TEMP:inferior-frontal-junction,AS,AS
allen_brain,UBERON:0016525,UBERON:0001870,AS,AS
allen_brain,UBERON:0002998,UBERON:0002629,AS,AS
allen_brain,UBERON:0002998,UBERON:0002980,AS,AS
allen_brain,UBERON:0002998,UBERON:0002624,AS,AS
allen_brain,UBERON:0019280,UBERON:0019279,AS,AS
allen_brain,UBERON:0019280,UBERON:0019278,AS,AS
allen_brain,UBERON:0001872,UBERON:0002581,AS,AS
allen_brain,UBERON:0001872,UBERON:0006094,AS,AS
allen_brain,UBERON:0001872,UBERON:0006088,AS,AS
allen_brain,UBERON:0001872,UBERON:0006093,AS,AS
allen_brain,UBERON:0001872,UBERON:0035934,AS,AS
allen_brain,UBERON:0001872,UBERON:0002911,AS,AS
allen_brain,UBERON:0006088,UBERON:0002688,AS,AS
allen_brain,UBERON:0006088,UBERON:0002686,AS,AS
allen_brain,UBERON:0001871,UBERON:0002769,AS,AS
allen_brain,UBERON:0001871,UBERON:0002771,AS,AS
allen_brain,UBERON:0001871,UBERON:0002751,AS,AS
allen_brain,UBERON:0001871,UBERON:0022364,AS,AS
allen_brain,UBERON:0001871,UBERON:0003939,AS,AS
allen_brain,UBERON:0001871,UBERON:0022268,AS,AS
allen_brain,UBERON:0001871,UBERON:0002576,AS,AS
allen_brain,UBERON:0001871,UBERON:0023861,AS,AS
allen_brain,UBERON:0022364,UBERON:0006083,AS,AS
allen_brain,UBERON:0003939,UBERON:0002773,AS,AS
allen_brain,UBERON:0003939,UBERON:0002774,AS,AS
allen_brain,UBERON:0002576,UBERON:0006083$$1,AS,AS
allen_brain,UBERON:0002021,UBERON:0002902,AS,AS
allen_brain,UBERON:0002021,ASCTB-TEMP:occipitoparietal-transition-region,AS,AS
allen_brain,UBERON:0002021,ASCTB-TEMP:occipitotemporal-transition-region,AS,AS
allen_brain,UBERON:0002021,UBERON:0006092,AS,AS
allen_brain,UBERON:0002021,UBERON:0002943,AS,AS
allen_brain,UBERON:0002021,ASCTB-TEMP:occipitotemporal-fusiform-gyrus-occipital-part,AS,AS
allen_brain,UBERON:0002021,UBERON:0014608,AS,AS
allen_brain,UBERON:0002021,UBERON:0002948,AS,AS
allen_brain,UBERON:0002022,UBERON:0034891,AS,AS
allen_brain,UBERON:0002600,UBERON:0002967,AS,AS
allen_brain,UBERON:0002600,UBERON:0002738,AS,AS
allen_brain,UBERON:0002600,UBERON:0003020,AS,AS
allen_brain,UBERON:0002600,UBERON:0002603,AS,AS
allen_brain,UBERON:0002600,UBERON:0002973,AS,AS
allen_brain,UBERON:0002600,UBERON:0002421,AS,AS
allen_brain,UBERON:0002600,UBERON:0002590,AS,AS
allen_brain,UBERON:0002600,UBERON:0002264,AS,AS
allen_brain,UBERON:0002967,UBERON:0002756,AS,AS
allen_brain,UBERON:0002967,UBERON:0002740,AS,AS
allen_brain,UBERON:0002967,ASCTB-TEMP:cingulate-gyrus-retrospleninal-part,AS,AS
allen_brain,UBERON:0002973,UBERON:0022383,AS,AS
allen_brain,UBERON:0002973,UBERON:0002657,AS,AS
allen_brain,UBERON:0002973,UBERON:0034773,AS,AS
allen_brain,UBERON:0002421,ASCTB-TEMP:head-of-hippocampus,AS,AS
allen_brain,UBERON:0002421,ASCTB-TEMP:body-of-hippocampus,AS,AS
allen_brain,UBERON:0002421,UBERON:0023787,AS,AS
allen_brain,UBERON:0002421,CL:0002604,AS,CT
allen_brain,UBERON:0002421,CL:0000679,AS,CT
allen_brain,UBERON:0002421,CL:4023060$$41,AS,CT
allen_brain,UBERON:0002421,CL:4023060$$58,AS,CT
allen_brain,UBERON:0002421,CL:4023039$$59,AS,CT
allen_brain,UBERON:0002421,CL:0000540,AS,CT
allen_brain,UBERON:0002421,CL:4023060$$66,AS,CT
allen_brain,UBERON:0002421,CL:4023060$$67,AS,CT
allen_brain,UBERON:0002421,CL:4023060$$68,AS,CT
allen_brain,UBERON:0002421,CL:4023060$$69,AS,CT
allen_brain,UBERON:0002421,CL:4023060$$70,AS,CT
allen_brain,UBERON:0002421,CL:4023060$$71,AS,CT
allen_brain,UBERON:0002421,CL:4023060$$72,AS,CT
allen_brain,UBERON:0002421,CL:4023060$$73,AS,CT
allen_brain,UBERON:0002421,CL:4023060$$74,AS,CT
allen_brain,UBERON:0002421,CL:4023060$$75,AS,CT
allen_brain,UBERON:0002421,CL:4023061,AS,CT
allen_brain,UBERON:0002421,CL:4023062,AS,CT
allen_brain,UBERON:0002421,CL:1001474,AS,CT
allen_brain,UBERON:0002421,CL:4023063$$114,AS,CT
allen_brain,UBERON:0002421,CL:0000402$$126,AS,CT
allen_brain,UBERON:0001876,UBERON:0002890,AS,AS
allen_brain,UBERON:0001876,UBERON:0034991,AS,AS
allen_brain,UBERON:0001876,UBERON:0002891,AS,AS
allen_brain,UBERON:0001876,UBERON:0002892,AS,AS
allen_brain,UBERON:0001876,UBERON:0002886,AS,AS
allen_brain,UBERON:0001876,UBERON:0006107,AS,AS
allen_brain,UBERON:0001876,UBERON:0002889,AS,AS
allen_brain,UBERON:0001876,UBERON:0002883,AS,AS
allen_brain,UBERON:0001876,UBERON:0034673,AS,AS
allen_brain,UBERON:0001876,UBERON:0001880,AS,AS
allen_brain,UBERON:0010011,UBERON:0001873,AS,AS
allen_brain,UBERON:0010011,UBERON:0001874,AS,AS
allen_brain,UBERON:0010011,UBERON:0001882,AS,AS
allen_brain,UBERON:0010011,UBERON:0002477,AS,AS
allen_brain,UBERON:0010011,UBERON:0002476,AS,AS
allen_brain,UBERON:0002743,ASCTB-TEMP:septal-nuclei,AS,AS
allen_brain,UBERON:0002743,UBERON:0003017,AS,AS
allen_brain,UBERON:0002743,CL:0000706$$17,AS,CT
allen_brain,UBERON:0002743,CL:0000706$$18,AS,CT
allen_brain,UBERON:0002743,CL:0000706$$19,AS,CT
allen_brain,UBERON:0002743,CL:1001474$$78,AS,CT
allen_brain,UBERON:0002743,CL:1001474$$80,AS,CT
allen_brain,UBERON:0002743,CL:1001474$$81,AS,CT
allen_brain,UBERON:0002743,CL:1001474$$83,AS,CT
allen_brain,UBERON:0002743,CL:1001474$$93,AS,CT
allen_brain,UBERON:0001897,UBERON:0004703,AS,AS
allen_brain,UBERON:0001897,UBERON:0001900,AS,AS
allen_brain,UBERON:0001897,UBERON:0001899,AS,AS
allen_brain,UBERON:0001897,UBERON:0001903,AS,AS
allen_brain,UBERON:0001897,UBERON:0001906,AS,AS
allen_brain,UBERON:0004703,UBERON:0002788,AS,AS
allen_brain,UBERON:0004703,UBERON:0002739,AS,AS
allen_brain,UBERON:0004703,UBERON:0001921,AS,AS
allen_brain,UBERON:0004703,UBERON:0002983,AS,AS
allen_brain,UBERON:0004703,UBERON:0002981,AS,AS
allen_brain,UBERON:0004703,UBERON:0002637,AS,AS
allen_brain,UBERON:0004703,UBERON:0001925,AS,AS
allen_brain,UBERON:0004703,UBERON:0002945,AS,AS
allen_brain,UBERON:0004703,UBERON:0002942,AS,AS
allen_brain,UBERON:0004703,UBERON:0001926,AS,AS
allen_brain,UBERON:0004703,UBERON:0001927,AS,AS
allen_brain,UBERON:0004703,UBERON:0001922,AS,AS
allen_brain,UBERON:0004703,UBERON:0002972,AS,AS
allen_brain,UBERON:0004703,UBERON:0002705,AS,AS
allen_brain,UBERON:0001900,UBERON:0001907,AS,AS
allen_brain,UBERON:0001899,UBERON:0008993,AS,AS
allen_brain,UBERON:0001899,UBERON:0001920,AS,AS
allen_brain,UBERON:0001899,UBERON:0001905,AS,AS
allen_brain,UBERON:0001898,UBERON:0007769,AS,AS
allen_brain,UBERON:0001898,UBERON:0001929,AS,AS
allen_brain,UBERON:0001898,UBERON:0000435,AS,AS
allen_brain,UBERON:0001898,UBERON:0001898$$3,AS,AS
allen_brain,UBERON:0001898,CL:0000128$$12,AS,CT
allen_brain,UBERON:0001898,CL:0000127$$13,AS,CT
allen_brain,UBERON:0001898,CL:4023074,AS,CT
allen_brain,UBERON:0001898,CL:0000540$$205,AS,CT
allen_brain,UBERON:0001898,CL:0000540$$211,AS,CT
allen_brain,UBERON:0001898,CL:0000540$$229,AS,CT
allen_brain,UBERON:0001898,CL:0000540$$230,AS,CT
allen_brain,UBERON:0001898,CL:0000540$$231,AS,CT
allen_brain,UBERON:0001898,CL:0000540$$232,AS,CT
allen_brain,UBERON:0001898,CL:0000540$$235,AS,CT
allen_brain,UBERON:0001898,CL:0000540$$236,AS,CT
allen_brain,UBERON:0001898,CL:0000540$$249,AS,CT
allen_brain,UBERON:0007769,UBERON:0007769$$2,AS,AS
allen_brain,UBERON:0001898$$3,UBERON:0002206,AS,AS
allen_brain,UBERON:0019261,UBERON:0000935,AS,AS
allen_brain,UBERON:0019261,UBERON:0002336,AS,AS
allen_brain,UBERON:0019261,UBERON:0000052,AS,AS
allen_brain,UBERON:0019261,UBERON:0001887,AS,AS
allen_brain,UBERON:0019261,UBERON:0002990,AS,AS
allen_brain,UBERON:0019261,UBERON:0002265,AS,AS
allen_brain,UBERON:0019261,UBERON:0022264,AS,AS
allen_brain,UBERON:0019261,UBERON:0001908,AS,AS
allen_brain,UBERON:0002285,UBERON:0002285$$4,AS,AS
allen_brain,UBERON:0002285,UBERON:0002285$$5,AS,AS
allen_brain,UBERON:0002285,UBERON:0002285$$6,AS,AS
allen_brain,UBERON:0002285,UBERON:0002285$$7,AS,AS
allen_brain,UBERON:0002285,UBERON:0002285$$8,AS,AS
allen_brain,UBERON:0002285,UBERON:0002286,AS,AS
allen_brain,UBERON:0002285$$4,UBERON:0002651,AS,AS
allen_brain,UBERON:0002285$$5,UBERON:0002655,AS,AS
allen_brain,UBERON:0002285$$6,ASCTB-TEMP:atrium-of-lateral-ventricle,AS,AS
allen_brain,UBERON:0002285$$7,UBERON:0004672,AS,AS
allen_brain,UBERON:0002285$$8,UBERON:0006091,AS,AS
allen_brain,UBERON:0001891,UBERON:0019267,AS,AS
allen_brain,UBERON:0001891,UBERON:0016554,AS,AS
allen_brain,UBERON:0001891,UBERON:0002289,AS,AS
allen_brain,UBERON:0001891,CL:0000540$$135,AS,CT
allen_brain,UBERON:0001891,CL:0000540$$157,AS,CT
allen_brain,UBERON:0001891,CL:0000540$$173,AS,CT
allen_brain,UBERON:0001891,CL:0000540$$178,AS,CT
allen_brain,UBERON:0001891,CL:0000540$$179,AS,CT
allen_brain,UBERON:0001891,CL:0000540$$180,AS,CT
allen_brain,UBERON:0001891,CL:0000540$$181,AS,CT
allen_brain,UBERON:0001891,CL:0000540$$185,AS,CT
allen_brain,UBERON:0001891,CL:0000540$$188,AS,CT
allen_brain,UBERON:0001891,CL:0000540$$190,AS,CT
allen_brain,UBERON:0001891,CL:0000540$$191,AS,CT
allen_brain,UBERON:0001891,CL:0000540$$192,AS,CT
allen_brain,UBERON:0001891,CL:0000540$$215,AS,CT
allen_brain,UBERON:0019267,UBERON:0001944,AS,AS
allen_brain,UBERON:0019267,UBERON:0001943,AS,AS
allen_brain,UBERON:0019267,UBERON:0003040,AS,AS
allen_brain,UBERON:0019267,UBERON:0001947,AS,AS
allen_brain,UBERON:0019267,UBERON:0002038,AS,AS
allen_brain,UBERON:0019267,UBERON:0001945,AS,AS
allen_brain,UBERON:0019267,UBERON:0001946,AS,AS
allen_brain,UBERON:0016554,UBERON:0002623,AS,AS
allen_brain,UBERON:0002028,UBERON:0019263,AS,AS
allen_brain,UBERON:0002028,UBERON:0019258,AS,AS
allen_brain,UBERON:0002028,UBERON:0004086,AS,AS
allen_brain,UBERON:0019263,UBERON:0002037,AS,AS
allen_brain,UBERON:0019263,UBERON:0000988,AS,AS
allen_brain,UBERON:0019263,UBERON:0001896,AS,AS
allen_brain,UBERON:0019263,CL:0000065$$14,AS,CT
allen_brain,UBERON:0019263,CL:0000065$$15,AS,CT
allen_brain,UBERON:0019263,CL:4023057,AS,CT
allen_brain,UBERON:0019263,CL:0000540$$140,AS,CT
allen_brain,UBERON:0019263,CL:0000540$$141,AS,CT
allen_brain,UBERON:0019263,CL:0000540$$142,AS,CT
allen_brain,UBERON:0019263,CL:0000540$$143,AS,CT
allen_brain,UBERON:0019263,CL:0000540$$144,AS,CT
