organ,source,target,source_type,target_type
allen_brain,UBERON:0013702,UBERON:0000955,AS,AS
blood_pelvis,UBERON:0013702,UBERON:0000178,AS,AS
bone_marrow,UBERON:0013702,UBERON:0002371,AS,AS
eye,UBERON:0013702,UBERON:0000970,AS,AS
fallopian_tube,UBERON:0013702,UBERON:0003889,AS,AS
heart,UBERON:0013702,UBERON:0000948,AS,AS
kidney,UBERON:0013702,UBERON:0002113,AS,AS
knee,UBERON:0013702,UBERON:0001465,AS,AS
large_intestine,UBERON:0013702,UBERON:0000059,AS,AS
liver,UBERON:0013702,UBERON:0002107,AS,AS
lung,UBERON:0013702,UBERON:0001004,AS,AS
lung,UBERON:0013702,UBERON:0008886,AS,AS
lung,UBERON:0013702,UBERON:0004573,AS,AS
lung,UBERON:0013702,UBERON:0003920,AS,AS
lymph_node,UBERON:0013702,UBERON:0000029,AS,AS
lymph_vasculature,UBERON:0013702,UBERON:0004536,AS,AS
main_bronchus,UBERON:0013702,UBERON:0002182,AS,AS
main_bronchus,UBERON:0013702,UBERON:0002040$$4977,AS,AS
main_bronchus,UBERON:0013702,UBERON:0002040$$4980,AS,AS
main_bronchus,UBERON:0013702,UBERON:0001592$$4983,AS,AS
main_bronchus,UBERON:0013702,UBERON:0001592$$4986,AS,AS
muscular_system,UBERON:0013702,UBERON:0000383,AS,AS
ovary,UBERON:0013702,UBERON:0000992,AS,AS
palatine_tonsil,UBERON:0013702,UBERON:0002373,AS,AS
pancreas,UBERON:0013702,UBERON:0001264,AS,AS
peripheral_nervous_system,UBERON:0013702,UBERON:0000010,AS,AS
placenta,UBERON:0013702,UBERON:0001987,AS,AS
prostate,UBERON:0013702,UBERON:0002367,AS,AS
skeleton,UBERON:0013702,UBERON:0004288,AS,AS
skin,UBERON:0013702,UBERON:0002097,AS,AS
small_intestine,UBERON:0013702,UBERON:0002108,AS,AS
spinal_cord,UBERON:0013702,UBERON:0002240,AS,AS
spleen,UBERON:0013702,UBERON:0002106,AS,AS
thymus,UBERON:0013702,UBERON:0002370,AS,AS
trachea,UBERON:0013702,UBERON:0003126,AS,AS
trachea,UBERON:0013702,UBERON:0001592$$18688,AS,AS
trachea,UBERON:0013702,UBERON:0001592$$18691,AS,AS
trachea,UBERON:0013702,UBERON:0002040$$18694,AS,AS
trachea,UBERON:0013702,UBERON:0002040$$18697,AS,AS
ureter,UBERON:0013702,UBERON:0000056,AS,AS
urinary_bladder,UBERON:0013702,UBERON:0001255,AS,AS
uterus,UBERON:0013702,UBERON:0000995,AS,AS
allen_brain,UBERON:0000955,UBERON:0001890,AS,AS
allen_brain,UBERON:0000955,UBERON:0001891,AS,AS
allen_brain,UBERON:0000955,UBERON:0002028,AS,AS
allen_brain,UBERON:0000955,CL:0000236,AS,CT
allen_brain,UBERON:0000955,CL:0000084,AS,CT
allen_brain,UBERON:0000955,CL:0000623,AS,CT
allen_brain,UBERON:0000955,CL:0000576,AS,CT
allen_brain,UBERON:0000955,CL:0000129,AS,CT
allen_brain,UBERON:0000955,CL:4023072,AS,CT
allen_brain,UBERON:0000955,CL:0000057,AS,CT
allen_brain,UBERON:0000955,CL:0002453,AS,CT
allen_brain,UBERON:0000955,CL:4023059,AS,CT
allen_brain,UBERON:0000955,CL:0000128,AS,CT
allen_brain,UBERON:0000955,CL:0000127,AS,CT
allen_brain,UBERON:0000955,CL:0000065,AS,CT
allen_brain,UBERON:0000955,CL:0000706,AS,CT
allen_brain,UBERON:0000955,CL:4023009$$40,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$64,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$65,AS,CT
allen_brain,UBERON:0000955,CL:4023061$$77,AS,CT
allen_brain,UBERON:0000955,CL:1001474$$87,AS,CT
allen_brain,UBERON:0000955,CL:1001474$$90,AS,CT
allen_brain,UBERON:0000955,CL:1001474$$97,AS,CT
allen_brain,UBERON:0000955,CL:1001474$$101,AS,CT
allen_brain,UBERON:0000955,CL:1001474$$103,AS,CT
allen_brain,UBERON:0000955,CL:1001474$$104,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$106,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$107,AS,CT
allen_brain,UBERON:0000955,CL:0000402$$128,AS,CT
allen_brain,UBERON:0000955,CL:4023064$$131,AS,CT
allen_brain,UBERON:0000955,CL:4023064$$134,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$145,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$158,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$161,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$166,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$172,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$175,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$176,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$177,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$182,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$183,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$186,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$187,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$189,AS,CT
allen_brain,UBERON:0000955,CL:4023068,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$193,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$194,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$196,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$198,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$201,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$202,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$203,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$204,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$207,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$209,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$210,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$213,AS,CT
allen_brain,UBERON:0000955,CL:0000540$$216,AS,CT
