id,name,type,organ,ontology_id
UBERON:0013702,body,AS,body,UBERON:0013702
UBERON:0000955,brain,AS,allen_brain,UBERON:0000955
UBERON:0001890,forebrain,AS,allen_brain,UBERON:0001890
UBERON:0019264,gray matter of forebrain,AS,allen_brain,UBERON:0019264
UBERON:0000956,cerebral cortex,AS,allen_brain,UBERON:0000956
UBERON:0016525,frontal lobe,AS,allen_brain,UBERON:0016525
UBERON:0002661,superior frontal gyrus,AS,allen_brain,UBERON:0002661
UBERON:0002702,middle frontal gyrus,AS,allen_brain,UBERON:0002702
UBERON:0002998,inferior frontal gyrus,AS,allen_brain,UBERON:0002998
UBERON:0002629,triangular part of inferior frontal gyrus,AS,allen_brain,UBERON:0002629
UBERON:0002980,opercular part of inferior frontal gyrus,AS,allen_brain,UBERON:0002980
UBERON:0002624,orbital part of inferior frontal gyrus,AS,allen_brain,UBERON:0002624
UBERON:0004671,gyrus rectus,AS,allen_brain,UBERON:0004671
UBERON:0002570,medial orbital gyrus,AS,allen_brain,UBERON:0002570
UBERON:0002644,intermediate orbital gyrus,AS,allen_brain,UBERON:0002644
UBERON:0002564,lateral orbital gyrus,AS,allen_brain,UBERON:0002564
UBERON:0035932,anterior segment of paracentral lobule,AS,allen_brain,UBERON:0035932
UBERON:0022398,paracingulate gyrus,AS,allen_brain,UBERON:0022398
UBERON:0002947,frontal operculum,AS,allen_brain,UBERON:0002947
UBERON:0002593,orbital operculum,AS,allen_brain,UBERON:0002593
UBERON:0019280,rostral gyrus,AS,allen_brain,UBERON:0019280
UBERON:0019279,superior rostral gyrus,AS,allen_brain,UBERON:0019279
UBERON:0019278,inferior rostral gyrus,AS,allen_brain,UBERON:0019278
UBERON:0004725,piriform cortex,AS,allen_brain,UBERON:0004725
ASCTB-TEMP:frontomarginal-gyrus,frontomarginal gyrus,AS,allen_brain,ASCTB-TEMP:frontomarginal-gyrus
UBERON:0002795,frontal pole,AS,allen_brain,UBERON:0002795
UBERON:0001872,parietal lobe,AS,allen_brain,UBERON:0001872
UBERON:0002581,postcentral gyrus,AS,allen_brain,UBERON:0002581
UBERON:0006094,superior parietal cortex,AS,allen_brain,UBERON:0006094
UBERON:0006088,inferior parietal cortex,AS,allen_brain,UBERON:0006088
UBERON:0002688,supramarginal gyrus,AS,allen_brain,UBERON:0002688
UBERON:0002686,angular gyrus,AS,allen_brain,UBERON:0002686
UBERON:0006093,precuneus cortex,AS,allen_brain,UBERON:0006093
UBERON:0035934,posterior segment of paracentral lobule,AS,allen_brain,UBERON:0035934
UBERON:0002911,parietal operculum,AS,allen_brain,UBERON:0002911
UBERON:0001871,temporal lobe,AS,allen_brain,UBERON:0001871
UBERON:0002769,superior temporal gyrus,AS,allen_brain,UBERON:0002769
UBERON:0002771,middle temporal gyrus,AS,allen_brain,UBERON:0002771
UBERON:0002751,inferior temporal gyrus,AS,allen_brain,UBERON:0002751
UBERON:0022364,occipital fusiform gyrus,AS,allen_brain,UBERON:0022364
UBERON:0006083,perirhinal cortex,AS,allen_brain,UBERON:0006083
UBERON:0003939,transverse gyrus of Heschl,AS,allen_brain,UBERON:0003939
UBERON:0002773,anterior transverse temporal gyrus,AS,allen_brain,UBERON:0002773
UBERON:0002774,posterior transverse temporal gyrus,AS,allen_brain,UBERON:0002774
UBERON:0022268,planum temporale,AS,allen_brain,UBERON:0022268
UBERON:0002576,temporal pole,AS,allen_brain,UBERON:0002576
UBERON:0006083$$1,perirhinal cortex,AS,allen_brain,UBERON:0006083
UBERON:0023861,planum polare,AS,allen_brain,UBERON:0023861
UBERON:0002021,occipital lobe,AS,allen_brain,UBERON:0002021
UBERON:0002902,occipital pole,AS,allen_brain,UBERON:0002902
ASCTB-TEMP:occipitoparietal-transition-region,occipitoparietal transition region,AS,allen_brain,ASCTB-TEMP:occipitoparietal-transition-region
ASCTB-TEMP:occipitotemporal-transition-region,occipitotemporal transition region,AS,allen_brain,ASCTB-TEMP:occipitotemporal-transition-region
UBERON:0006092,cuneus cortex,AS,allen_brain,UBERON:0006092
UBERON:0002943,lingual gyrus,AS,allen_brain,UBERON:0002943
ASCTB-TEMP:occipitotemporal-fusiform-gyrus-occipital-part,"occipitotemporal (fusiform) gyrus, occipital part",AS,allen_brain,ASCTB-TEMP:occipitotemporal-fusiform-gyrus-occipital-part
UBERON:0014608,inferior occipital gyrus,AS,allen_brain,UBERON:0014608
UBERON:0002948,superior occipital gyrus,AS,allen_brain,UBERON:0002948
UBERON:0002022,insula,AS,allen_brain,UBERON:0002022
UBERON:0034891,insular cortex,AS,allen_brain,UBERON:0034891
UBERON:0002600,limbic lobe,AS,allen_brain,UBERON:0002600
UBERON:0002967,cingulate gyrus,AS,allen_brain,UBERON:0002967
UBERON:0002756,anterior cingulate gyrus,AS,allen_brain,UBERON:0002756
UBERON:0002740,posterior cingulate gyrus,AS,allen_brain,UBERON:0002740
ASCTB-TEMP:cingulate-gyrus-retrospleninal-part,"cingulate gyrus, retrospleninal part",AS,allen_brain,ASCTB-TEMP:cingulate-gyrus-retrospleninal-part
UBERON:0002738,isthmus of cingulate gyrus,AS,allen_brain,UBERON:0002738
UBERON:0003020,subcallosal area,AS,allen_brain,UBERON:0003020
UBERON:0002603,paraterminal gyrus,AS,allen_brain,UBERON:0002603
UBERON:0002973,parahippocampal gyrus,AS,allen_brain,UBERON:0002973
UBERON:0022383,anterior parahippocampal gyrus,AS,allen_brain,UBERON:0022383
UBERON:0002657,posterior parahippocampal gyrus,AS,allen_brain,UBERON:0002657
UBERON:0034773,uncus of parahippocampal gyrus,AS,allen_brain,UBERON:0034773
UBERON:0002421,hippocampal formation,AS,allen_brain,UBERON:0002421
ASCTB-TEMP:head-of-hippocampus,head of hippocampus,AS,allen_brain,ASCTB-TEMP:head-of-hippocampus
ASCTB-TEMP:body-of-hippocampus,body of hippocampus,AS,allen_brain,ASCTB-TEMP:body-of-hippocampus
UBERON:0023787,subicular complex,AS,allen_brain,UBERON:0023787
UBERON:0002590,prepyriform area,AS,allen_brain,UBERON:0002590
UBERON:0002264,olfactory bulb,AS,allen_brain,UBERON:0002264
UBERON:0001876,amygdala,AS,allen_brain,UBERON:0001876
UBERON:0002890,anterior amygdaloid area,AS,allen_brain,UBERON:0002890
UBERON:0034991,anterior cortical amygdaloid nucleus,AS,allen_brain,UBERON:0034991
UBERON:0002891,cortical amygdaloid nucleus,AS,allen_brain,UBERON:0002891
UBERON:0002892,medial amygdaloid nucleus,AS,allen_brain,UBERON:0002892
UBERON:0002886,lateral amygdaloid nucleus,AS,allen_brain,UBERON:0002886
UBERON:0006107,basolateral amygdaloid nuclear complex,AS,allen_brain,UBERON:0006107
UBERON:0002889,medial part of basal amygdaloid nucleus,AS,allen_brain,UBERON:0002889
UBERON:0002883,central amygdaloid nucleus,AS,allen_brain,UBERON:0002883
UBERON:0034673,amygdalohippocampal area,AS,allen_brain,UBERON:0034673
UBERON:0001880,bed nucleus of stria terminalis,AS,allen_brain,UBERON:0001880
UBERON:0010011,collection of basal ganglia,AS,allen_brain,UBERON:0010011
UBERON:0001873,caudate nucleus,AS,allen_brain,UBERON:0001873
UBERON:0001874,putamen,AS,allen_brain,UBERON:0001874
UBERON:0001882,nucleus accumbens,AS,allen_brain,UBERON:0001882
UBERON:0002477,medial globus pallidus,AS,allen_brain,UBERON:0002477
UBERON:0002476,lateral globus pallidus,AS,allen_brain,UBERON:0002476
UBERON:0002023,claustrum of brain,AS,allen_brain,UBERON:0002023
UBERON:0002743,basal forebrain,AS,allen_brain,UBERON:0002743
ASCTB-TEMP:septal-nuclei,septal nuclei,AS,allen_brain,ASCTB-TEMP:septal-nuclei
UBERON:0003017,substantia innominata,AS,allen_brain,UBERON:0003017
UBERON:0001897,dorsal plus ventral thalamus,AS,allen_brain,UBERON:0001897
UBERON:0004703,dorsal thalamus,AS,allen_brain,UBERON:0004703
UBERON:0002788,anterior nuclear group,AS,allen_brain,UBERON:0002788
UBERON:0002739,medial dorsal nucleus of thalamus,AS,allen_brain,UBERON:0002739
UBERON:0001921,reuniens nucleus,AS,allen_brain,UBERON:0001921
UBERON:0002983,lateral posterior nucleus of thalamus,AS,allen_brain,UBERON:0002983
UBERON:0002981,pulvinar nucleus,AS,allen_brain,UBERON:0002981
UBERON:0002637,ventral anterior nucleus of thalamus,AS,allen_brain,UBERON:0002637
UBERON:0001925,ventral lateral nucleus of thalamus,AS,allen_brain,UBERON:0001925
UBERON:0002945,ventral posteromedial nucleus of thalamus,AS,allen_brain,UBERON:0002945
UBERON:0002942,ventral posterolateral nucleus,AS,allen_brain,UBERON:0002942
UBERON:0001926,lateral geniculate body,AS,allen_brain,UBERON:0001926
UBERON:0001927,medial geniculate body,AS,allen_brain,UBERON:0001927
UBERON:0001922,parafascicular nucleus,AS,allen_brain,UBERON:0001922
UBERON:0002972,centromedian nucleus of thalamus,AS,allen_brain,UBERON:0002972
UBERON:0002705,midline nuclear complex,AS,allen_brain,UBERON:0002705
UBERON:0001900,ventral thalamus,AS,allen_brain,UBERON:0001900
UBERON:0001907,zona incerta,AS,allen_brain,UBERON:0001907
UBERON:0001899,epithalamus,AS,allen_brain,UBERON:0001899
UBERON:0008993,habenular nucleus,AS,allen_brain,UBERON:0008993
UBERON:0001920,paraventricular nucleus of thalamus,AS,allen_brain,UBERON:0001920
UBERON:0001905,pineal body,AS,allen_brain,UBERON:0001905
UBERON:0001903,thalamic reticular nucleus,AS,allen_brain,UBERON:0001903
UBERON:0001906,subthalamic nucleus,AS,allen_brain,UBERON:0001906
UBERON:0001898,hypothalamus,AS,allen_brain,UBERON:0001898
UBERON:0007769,medial preoptic region,AS,allen_brain,UBERON:0007769
UBERON:0007769$$2,medial preoptic region,AS,allen_brain,UBERON:0007769
UBERON:0001929,supraoptic nucleus,AS,allen_brain,UBERON:0001929
UBERON:0000435,lateral tuberal nucleus,AS,allen_brain,UBERON:0000435
UBERON:0001898$$3,hypothalamus,AS,allen_brain,UBERON:0001898
UBERON:0002206,mammillary body,AS,allen_brain,UBERON:0002206
UBERON:0019261,white matter of forebrain,AS,allen_brain,UBERON:0019261
UBERON:0000935,anterior commissure,AS,allen_brain,UBERON:0000935
UBERON:0002336,corpus callosum,AS,allen_brain,UBERON:0002336
UBERON:0000052,fornix of brain,AS,allen_brain,UBERON:0000052
UBERON:0001887,internal capsule of telencephalon,AS,allen_brain,UBERON:0001887
UBERON:0002990,mammillothalamic tract of hypothalamus,AS,allen_brain,UBERON:0002990
UBERON:0002265,olfactory tract,AS,allen_brain,UBERON:0002265
UBERON:0022264,optic radiation,AS,allen_brain,UBERON:0022264
UBERON:0001908,optic tract,AS,allen_brain,UBERON:0001908
UBERON:0002285,telencephalic ventricle,AS,allen_brain,UBERON:0002285
UBERON:0002285$$4,telencephalic ventricle,AS,allen_brain,UBERON:0002285
